# Shōnen
Naruto | Ikimono Gakari Blue Bird
One Piece | Hiroshi Kitadani We Are One Piece
Dragon Ball Z | Hironobu Kageyama Cha-La Head-Cha-La
Bleach | Orange Range Asterisk
L'Attaque des Titans | Linked Horizon Guren no Yumiya
My Hero Academia | Porno Graffitti The Day
Demon Slayer | LiSA Gurenge
Jujutsu Kaisen | Eve Kaikai Kitan
Hunter x Hunter | Masatoshi Ono Departure
Fullmetal Alchemist: Brotherhood | YUI Again
Death Note | Nightmare The World
Tokyo Ghoul | TK from Ling tosite sigure Unravel
Sword Art Online | LiSA Crossing Field
One Punch Man | JAM Project The Hero
Mob Psycho 100 | MOB CHOIR 99
Chainsaw Man | Kenshi Yonezu Kick Back
Haikyu!! | SPYAIR Imagination
Black Clover | Kankaku Piero Haruka Mirai
Fairy Tail | Funkist Snow Fairy
JoJo's Bizarre Adventure | Hiroaki Tominaga Sono Chi no Sadame
Dr. Stone | Burnout Syndromes Good Morning World
Blue Lock | UNISON SQUARE GARDEN Chaos ga Kiwamaru
Solo Leveling | Hiroyuki Sawano LEveL
Dandadan | Creepy Nuts Otonoke
Vinland Saga | Survive Said The Prophet Mukanjyo
# Culte
Neon Genesis Evangelion | Yoko Takahashi A Cruel Angel's Thesis
Cowboy Bebop | Seatbelts Tank!
Code Geass | FLOW Colors
Great Teacher Onizuka | L'Arc-en-Ciel Driver's High
Samurai Champloo | Nujabes Battlecry
Kenshin le vagabond | Judy and Mary Sobakasu
Gurren Lagann | Shoko Nakagawa Sorairo Days
Steins;Gate | Kanako Ito Hacking to the Gate
Nana | Anna Tsuchiya Rose
Inuyasha | V6 Change the World
Détective Conan | Mikuni Shimokawa Mune ga Dokidoki
Madoka Magica | ClariS Connect
Kill la Kill | Hiroyuki Sawano Before My Body Is Dry
Akira | Geinoh Yamashirogumi Kaneda
# Récents
Spy x Family | Official Hige Dandism Mixed Nuts
Oshi no Ko | YOASOBI Idol
Frieren | YOASOBI Yuusha
Bocchi the Rock! | Kessoku Band Seishun Complex
Cyberpunk: Edgerunners | Rosa Walton I Really Want to Stay at Your House
Violet Evergarden | TRUE Sincerely
Your Name | RADWIMPS Sparkle
Suzume | RADWIMPS Suzume
Kaiju No. 8 | Yungblud Abyss
Mashle | Creepy Nuts Bling-Bang-Bang-Born
# Ghibli
Mon voisin Totoro | Joe Hisaishi My Neighbor Totoro
Le Voyage de Chihiro | Joe Hisaishi One Summer's Day
Le Château ambulant | Joe Hisaishi Merry-Go-Round of Life
Princesse Mononoké | Joe Hisaishi Princess Mononoke
Kiki la petite sorcière | Joe Hisaishi A Town with an Ocean View
Le Château dans le ciel | Joe Hisaishi Carrying You
Porco Rosso | Joe Hisaishi Porco e Bella
# Génériques français
Les Chevaliers du Zodiaque | Bernard Minet Les Chevaliers du Zodiaque
Dragon Ball | Ariane Dragon Ball générique
Olive et Tom | Olive et Tom générique
Nicky Larson | Jean-Paul Césari Nicky Larson
Goldorak | Noam Goldorak
Les Mystérieuses Cités d'or | Noam Les Mystérieuses Cités d'or
Albator | Eric Charden Albator
Capitaine Flam | Jean-Jacques Debout Capitaine Flam
Sailor Moon | DALI Moonlight Densetsu
Pokémon | Pokémon générique français attrapez-les tous
Candy | Dorothée Candy
Jeanne et Serge | Jeanne et Serge générique
