# 2000
Daft Punk | One More Time
Modjo | Lady
Britney Spears | Oops!... I Did It Again
Eminem | The Real Slim Shady
Madonna | Music
Manu Chao | Me gustas tu
Lââm | Chanter pour ceux qui sont loin de chez eux
Sonia Lacen | Aïcha
# 2001
Shaggy | It Wasn't Me
Kylie Minogue | Can't Get You Out of My Head
Alizée | Moi... Lolita
Gorillaz | Clint Eastwood
Destiny's Child | Survivor
Jean-Pascal | L'agitateur
Nelly | Ride Wit Me
Sniper | Gravé dans la roche
# 2002
Las Ketchup | The Ketchup Song
Eminem | Without Me
Shakira | Whenever, Wherever
Jenifer | Au soleil
Avril Lavigne | Complicated
Nelly | Hot in Herre
Kyo | Dernière danse
Lorie | Sur un air latino
# 2003
Beyoncé | Crazy in Love
Black Eyed Peas | Where Is the Love?
50 Cent | In da Club
Kyo | Le chemin
Tragédie | Hey Oh
Evanescence | Bring Me to Life
Christina Aguilera | Beautiful
Calogero | Face à la mer
# 2004
OutKast | Hey Ya!
Usher | Yeah!
Maroon 5 | This Love
Anastacia | Left Outside Alone
O-Zone | Dragostea din tei
K.Maro | Femme Like U
Corneille | Parce qu'on vient de loin
Britney Spears | Toxic
# 2005
Gwen Stefani | Hollaback Girl
Crazy Frog | Axel F
Kanye West | Gold Digger
Madonna | Hung Up
Amel Bent | Ma philosophie
Shakira | La tortura
Green Day | Boulevard of Broken Dreams
Ilona Mitrecey | Un monde parfait
# 2006
Shakira | Hips Don't Lie
Rihanna | SOS
Diam's | La boulette
Justin Timberlake | SexyBack
Nelly Furtado | Maneater
Gnarls Barkley | Crazy
Fatal Bazooka | Fous ta cagoule
Vitaa | À fleur de toi
# 2007
Rihanna | Umbrella
Timbaland | The Way I Are
Christophe Willem | Double je
Mika | Relax, Take It Easy
Avril Lavigne | Girlfriend
Amy Winehouse | Rehab
Sean Kingston | Beautiful Girls
Yelle | Je veux te voir
# 2008
Coldplay | Viva la vida
Katy Perry | I Kissed a Girl
Rihanna | Disturbia
Duffy | Mercy
Christophe Maé | On s'attache
Kid Cudi | Day 'n' Nite
Sébastien Tellier | Divine
Lady Gaga | Just Dance
# 2009
Black Eyed Peas | I Gotta Feeling
Lady Gaga | Poker Face
David Guetta | When Love Takes Over
Stromae | Alors on danse
Beyoncé | Halo
Jason Mraz | I'm Yours
Kesha | Tik Tok
Christophe Maé | Dingue, dingue, dingue
# 2010
Shakira | Waka Waka
