# Rétro
Tetris | Tetris Theme Korobeiniki
Pac-Man | Pac-Man theme arcade
Super Mario Bros. | Super Mario Bros theme Koji Kondo
Sonic the Hedgehog | Sonic Green Hill Zone
Street Fighter II | Street Fighter II Guile theme
Castlevania | Castlevania Vampire Killer
Mega Man 2 | Mega Man 2 Dr Wily Stage
Donkey Kong Country | Donkey Kong Country Aquatic Ambiance
Contra | Contra Jungle Theme
Double Dragon | Double Dragon theme
Metroid | Metroid Brinstar theme
Zelda: A Link to the Past | Zelda A Link to the Past Hyrule
# Nintendo
Zelda: Ocarina of Time | Zelda Ocarina of Time Song of Storms
Super Mario 64 | Super Mario 64 Bob-omb Battlefield
Mario Kart | Mario Kart Rainbow Road theme
Pokémon Rouge et Bleu | Pokemon Red Blue Route 1 theme
Zelda: Breath of the Wild | Zelda Breath of the Wild main theme
Super Smash Bros. | Super Smash Bros Melee theme
Animal Crossing | Animal Crossing theme
Kirby | Kirby Green Greens theme
Super Mario Galaxy | Super Mario Galaxy Gusty Garden
Zelda: Majora's Mask | Zelda Majora's Mask Clock Town
Splatoon | Splatoon Splattack
Wii Sports | Wii Sports theme
# RPG & aventure
Final Fantasy VII | Final Fantasy VII One Winged Angel
Chrono Trigger | Chrono Trigger Corridors of Time
Undertale | Undertale Megalovania Toby Fox
Skyrim | Skyrim Dragonborn Jeremy Soule
The Witcher 3 | Witcher 3 Silver for Monsters
Persona 5 | Persona 5 Last Surprise
Kingdom Hearts | Kingdom Hearts Simple and Clean
NieR: Automata | NieR Automata Weight of the World
Final Fantasy X | Final Fantasy X To Zanarkand
Dark Souls | Dark Souls Gwyn Lord of Cinder
Elden Ring | Elden Ring Main Theme
Bloodborne | Bloodborne Lady Maria
Mass Effect | Mass Effect Suicide Mission
Dragon Quest | Dragon Quest Overture
# Action & tir
Doom | Doom Mick Gordon At Doom's Gate
Halo | Halo theme Martin O'Donnell
Call of Duty | Call of Duty Modern Warfare 2 theme
Metal Gear Solid | Metal Gear Solid Snake Eater
Portal | Portal Still Alive
Half-Life | Half-Life 2 theme
Resident Evil | Resident Evil Save Room theme
Silent Hill | Silent Hill Promise Theme
Bioshock | Bioshock Garry Schyman Cohen's Masterpiece
Tomb Raider | Tomb Raider main theme Nathan McCree
Devil May Cry | Devil May Cry Devils Never Cry
Overwatch | Overwatch main theme
Counter-Strike | Counter-Strike main theme
# Monde ouvert
Grand Theft Auto: San Andreas | GTA San Andreas theme
Red Dead Redemption 2 | Red Dead Redemption 2 main theme
Assassin's Creed II | Assassin's Creed Ezio's Family Jesper Kyd
Cyberpunk 2077 | Cyberpunk 2077 The Rebel Path
The Last of Us | The Last of Us Gustavo Santaolalla
God of War | God of War Memories of Mother
Uncharted | Uncharted Nate's Theme
Horizon Zero Dawn | Horizon Zero Dawn Aloy's Theme
Ghost of Tsushima | Ghost of Tsushima The Way of the Ghost
Death Stranding | Death Stranding BB's Theme
Far Cry 3 | Far Cry 3 main theme
Watch Dogs | Watch Dogs main theme
# Indé
Minecraft | Minecraft C418 Sweden
Hollow Knight | Hollow Knight Christopher Larkin
Celeste | Celeste Lena Raine Resurrections
Journey | Journey Austin Wintory
Stardew Valley | Stardew Valley Overture
Cuphead | Cuphead Floral Fury
Hades | Hades Darren Korb Good Riddance
Terraria | Terraria Overworld Day
Ori and the Blind Forest | Ori and the Blind Forest Light of Nibel
Limbo | Limbo soundtrack Martin Stig Andersen
Braid | Braid Downstream
Katamari Damacy | Katamari Damacy Lonely Rolling Star
# Course & sport
Gran Turismo | Gran Turismo Moon Over the Castle
Need for Speed: Underground | Need for Speed Underground Riders on the Storm
Tony Hawk's Pro Skater | Tony Hawk Pro Skater Superman Goldfinger
FIFA | FIFA soundtrack theme
Rocket League | Rocket League Firework
Trackmania | Trackmania soundtrack
Crash Team Racing | Crash Team Racing theme
Burnout Paradise | Burnout Paradise Paradise City

# Rétro
Super Mario World | Super Mario World overworld theme
Sonic the Hedgehog 2 | Sonic 2 Chemical Plant Zone
Bomberman | Bomberman theme
Punch-Out!! | Punch-Out theme
# Nintendo
Super Mario Odyssey | Super Mario Odyssey Jump Up Super Star
Pokémon Or et Argent | Pokemon Gold Silver New Bark Town
Metroid Prime | Metroid Prime Phendrana Drifts
Fire Emblem | Fire Emblem theme
# RPG & aventure
Final Fantasy VI | Final Fantasy VI Terra's Theme
Genshin Impact | Genshin Impact main theme Yu-Peng Chen
Octopath Traveler | Octopath Traveler main theme Yasunori Nishiki
Baldur's Gate 3 | Baldur's Gate 3 Borislav Slavov
# Action & tir
Battlefield 3 | Battlefield 3 main theme Johan Skugge
Mortal Kombat | Mortal Kombat Techno Syndrome
Hotline Miami | Hotline Miami Hydrogen M.O.O.N.
Metal Gear Rising | Metal Gear Rising It Has to Be This Way
# Monde ouvert
Grand Theft Auto V | GTA V main theme
Marvel's Spider-Man | Marvel's Spider-Man main theme John Paesano
Assassin's Creed IV Black Flag | Assassin's Creed Black Flag main theme
Sea of Thieves | Sea of Thieves main theme
# Indé
Outer Wilds | Outer Wilds Travelers Andrew Prahlow
Deltarune | Deltarune Rude Buster
Fez | Fez Adventure Disasterpeace
Shovel Knight | Shovel Knight Strike the Earth
# Course & sport
OutRun | OutRun Magical Sound Shower
Wipeout 2097 | Wipeout 2097 soundtrack
Forza Horizon 5 | Forza Horizon 5 main theme
Sega Rally Championship | Sega Rally Game Over Yeah
